"F = 0.0001; Nimp = 1; Range: [1.0, 40.0]"
x y
1.0 0.00109570473277
1.39 0.000241083150708
1.78 7.35217567922e-05
2.17 2.88182894819e-05
2.56 1.38502490296e-05
2.95 7.89494556184e-06
3.34 5.20509344893e-06
3.73 3.89095025545e-06
4.12 3.24461763574e-06
4.51 2.97733878358e-06
4.9 2.97158977861e-06
5.29 3.19341300106e-06
5.68 3.66244313367e-06
6.07 4.44748134487e-06
6.46 5.67833719284e-06
6.85 7.57406108678e-06
7.24 1.04937023463e-05
7.63 1.50221285451e-05
8.02 2.21124588353e-05
8.41 3.33204758831e-05
8.8 5.11877220974e-05
9.19 7.98624247203e-05
9.58 0.000126095332961
9.97 0.00020081574457
10.36 0.000321585218129
10.75 0.00051634274051
11.14 0.00082898698577
11.53 0.001327464738
11.92 0.00211510110056
12.31 0.00334583552242
12.7 0.0052437010143
13.09 0.0081261604818
13.48 0.0124296622696
13.87 0.0187339426975
14.26 0.0277793086021
14.65 0.0404687845933
15.04 0.0578453696973
15.43 0.0810347902144
15.82 0.111147214816
16.21 0.149138199969
16.6 0.195639481409
16.99 0.250782458113
17.38 0.31404805959
17.77 0.384181855553
18.16 0.459208828
18.55 0.536566447606
18.94 0.613349595585
19.33 0.686632547971
19.72 0.753810404374
20.11 0.812893265628
20.5 0.862695478626
20.89 0.902887509497
21.28 0.933911682242
21.67 0.956794313182
22.06 0.97290614784
22.45 0.983725865364
22.84 0.990649396603
23.23 0.994867323203
23.62 0.997311644661
24.01 0.998657948183
24.4 0.999362153274
